id,copetin,golosinas,facturas,preelaborados,FC_bebidas_con_azucar
86432188,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes
86432304,Nunca o menos de 1 vez al mes,1 vez por semana,1 vez por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
86432313,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,1 vez por semana
86432314,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,1 vez al dia,Nunca o menos de 1 vez al mes,1 vez al dia
86454030,1 vez por semana,2 a 4 veces por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,5 a 6 veces por semana
86454032,1 vez por semana,1 vez por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,5 a 6 veces por semana
86455459,2 a 4 veces por semana,2 a 4 veces por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
86474912,Nunca o menos de 1 vez al mes,1 vez por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
86491264,Entre 2 y 3 veces al dia,Entre 2 y 3 veces al dia,Entre 2 y 3 veces al dia,Entre 1 y 3 veces al mes,Entre 2 y 3 veces al dia
86496238,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,1 vez por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
86511992,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,1 vez al dia
86514557,Nunca o menos de 1 vez al mes,1 vez por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,1 vez al dia
86524463,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,Entre 1 y 3 veces al mes,1 vez por semana,5 a 6 veces por semana
86529853,1 vez al dia,2 a 4 veces por semana,1 vez al dia,2 a 4 veces por semana,Entre 2 y 3 veces al dia
86529884,2 a 4 veces por semana,2 a 4 veces por semana,5 a 6 veces por semana,2 a 4 veces por semana,Entre 2 y 3 veces al dia
86559660,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
86559661,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez al dia,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
86566748,Nunca o menos de 1 vez al mes,1 vez por semana,1 vez por semana,2 a 4 veces por semana,2 a 4 veces por semana
86628684,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes
86633629,1 vez por semana,Entre 2 y 3 veces al dia,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,1 vez al dia
86643350,2 a 4 veces por semana,1 vez por semana,Entre 2 y 3 veces al dia,1 vez por semana,1 vez al dia
86650634,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez por semana
86656593,Entre 1 y 3 veces al mes,5 a 6 veces por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
86656595,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
86656597,2 a 4 veces por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
86656598,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
86660796,1 vez por semana,1 vez por semana,5 a 6 veces por semana,Entre 1 y 3 veces al mes,Entre 2 y 3 veces al dia
86661283,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,5 a 6 veces por semana,2 a 4 veces por semana,1 vez por semana
86703753,1 vez por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
86706740,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,1 vez por semana
86748828,1 vez por semana,Entre 1 y 3 veces al mes,1 vez por semana,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al dia
86761714,Entre 1 y 3 veces al mes,1 vez al dia,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,1 vez al dia
86761725,Entre 1 y 3 veces al mes,1 vez al dia,1 vez por semana,Nunca o menos de 1 vez al mes,1 vez al dia
86776054,Entre 1 y 3 veces al mes,1 vez por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
86776056,2 a 4 veces por semana,2 a 4 veces por semana,1 vez por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
86776057,2 a 4 veces por semana,2 a 4 veces por semana,1 vez por semana,2 a 4 veces por semana,Entre 2 y 3 veces al dia
